component,scenario,scenario_group,year,value,unit,source
Naphta,Naphtha a),Selected energy/feedstock,2034,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2035,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2036,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2037,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2038,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2039,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2040,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2041,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2042,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2043,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2044,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2045,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2046,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2047,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
Naphta,Naphtha a),Selected energy/feedstock,2048,600,€/t,Rounded conservative market proxy; BASF (2026) reports 2025 average naphtha price of 567 USD/t
